Year Published,Min Players,Min Age,Complexity Average,Max Players Log,Play Time Log,Year Published Missing,Min Players Missing,Max Players Missing,Play Time Missing,Min Age Missing,Complexity Average Missing,Mechanic: Dice Rolling,Mechanic: Hand Management,Mechanic: Set Collection,Mechanic: Variable Player Powers,Mechanic: Hexagon Grid,Mechanic: Simulation,Mechanic: Card Drafting,Mechanic: Tile Placement,Mechanic: Modular Board,Mechanic: Area Majority / Influence,Mechanic: Grid Movement,Mechanic: Cooperative Game,Mechanic: Roll / Spin and Move,Mechanic: Area Movement,Mechanic: Simultaneous Action Selection,Domain: Wargames,Domain: Strategy Games,Domain: Family Games,Domain: Thematic Games,Domain: Abstract Games,Domain: Children's Games,Domain: Party Games,Domain: Customizable Games
2010.0,2.0,15.0,1.0,1.6094379124341003,3.828641396489095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016.0,2.0,8.0,1.0,2.1972245773362196,3.4339872044851463,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006.0,2.0,12.0,3.07,1.6094379124341003,4.795790545596741,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016.0,1.0,14.0,3.07,1.9459101490553132,3.828641396489095,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017.0,2.0,12.0,1.89,1.0986122886681098,2.3978952727983707,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012.0,3.0,10.0,1.0,1.9459101490553132,3.044522437723423,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010.0,2.0,12.0,1.64,1.0986122886681098,3.4339872044851463,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2004.0,2.0,12.0,3.16,1.0986122886681098,5.198497031265826,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1977.0,4.0,12.0,3.22,2.1972245773362196,6.175867270105761,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2020.0,1.0,8.0,1.29,0.6931471805599453,2.772588722239781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014.0,2.0,6.0,1.33,1.791759469228055,3.044522437723423,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987.0,2.0,16.0,2.0,4.605170185988092,5.8888779583328805,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.0,1.0,13.0,3.13,1.0986122886681098,5.8888779583328805,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2005.0,2.0,5.0,1.7,1.0986122886681098,2.772588722239781,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021.0,1.0,10.0,2.08,1.6094379124341003,3.828641396489095,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2015.0,2.0,8.0,2.0,1.0986122886681098,3.713572066704308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009.0,1.0,10.0,2.75,1.6094379124341003,3.4339872044851463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015.0,2.0,17.0,1.33,1.0986122886681098,3.044522437723423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2018.0,1.0,14.0,2.0,1.791759469228055,4.51085950651685,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2014.0,1.0,10.0,1.2,0.6931471805599453,1.791759469228055,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008.0,3.0,9.0,1.87,1.791759469228055,3.828641396489095,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
2020.0,1.0,10.0,1.83,1.0986122886681098,4.51085950651685,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013.0,2.0,12.0,1.0,4.605170185988092,4.795790545596741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012.0,2.0,8.0,1.25,1.6094379124341003,3.044522437723423,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011.0,2.0,8.0,1.18,2.1972245773362196,2.772588722239781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009.0,2.0,10.0,2.06,1.791759469228055,3.828641396489095,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2014.0,2.0,8.0,2.06,1.791759469228055,3.4339872044851463,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1980.0,2.0,10.0,3.0,1.6094379124341003,4.110873864173311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011.0,2.0,8.0,1.0,1.9459101490553132,2.772588722239781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007.0,2.0,12.0,3.08,1.791759469228055,4.330733340286331,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014.0,1.0,8.0,2.6,1.9459101490553132,4.51085950651685,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2002.0,2.0,8.0,1.78,1.9459101490553132,3.4339872044851463,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
